Image_name,Caption
im1_41.JPG,مبنى القبطانية العامة لبرشلونة
im1_42.png,وفقا لبيانات من مجلة جامعة تشجيانغ للعلوم، فإن مستويات هرمون تستوستيرون الذكور تظهر إيقاع يتوافق مع النشاط الجنسي الحديث.
im1_43.jpg,قوارب الصيد المالطية التقليدية الملونة ، الوتسو ، أحد رموز مالطا. العين المطلية على كل جانب من الحاجب هي تقليد فينيقي قديم ، يعتقد أنه يحمي القوارب من الشر. تشتهر مرسى شلوق على وجه الخصوص بالعديد من الألغاز في مينائها. في الخلفية ، يمكن رؤية كنيسة أبرشية مرسى شلوق المخصصة لسيدة الوردية - مادونا بومبي.
im1_44.jpg,قرية فونينجور
im1_45.jpg,عاملات في مصانع لويل
im1_46.JPG,إركي تووميويا
im1_47.jpg,Sympatric upper pitchers of N. jamban (left) and N. lingulata (right) in سومطرةn upper نظم بيئية جبلية
im1_48.jpg,خريطة ماهيه.
im1_49.jpg,الملك شير علي خان مع CD تشارلز تشامبرلين والسير ريتشارد ف. بولوك في عام 1869.
im1_50.jpg, صورة مجهرية
im1_51.jpg,جان زامويسكي، قطب بولندي مهم في القرن السادس عشر
im1_52.jpg,صورة فضائية تظهر موقع بحيرة بنزرت من شمال شرق تونس
im1_53.png,صورة للقبة السماوية كاملة التقطها مسبار WMAP تُظهر المجرات حسب حرارتها.[3]
im1_54.jpg,ميشال، يمين الصورة، وايدموند نافراتل، اللذان عُرفا بلقب يتيمي التيتانيك
im1_55.JPG,كيث دوفران يركب عجلته الأحادية (عجلة قدرة (بالإنجليزية: powerwheel)‏ في موكب دو داه في كولومبوس أوهايو
im1_56.svg,العدسة المحدبة في العين البشرية
im1_57.jpg,الجامع الأزهر.
im1_58.svg,علم الإمبراطور الياباني.
im1_59.gif,السفينة البخارية براءة اختراع إنجليزية في عام 1736.
im1_60.jpg,عام الباراسيتامول أقراص المحرز في جمهورية كوريا الديمقراطية الشعبية من قبل شركة مشتركة
im1_61.jpg,مُنمنمة تُصوِّرُ السُلطان جهانكير وهو يستقبلُ ابنه شاهجهان العائد من الدكن بعد أن صفح عنه وسامحه.
im1_62.svg,لغات أمريكا الجنوبية.
im1_63.jpg,تمثالٌ لِفارسٍ مُسلمٍ من مملكة غرناطة، يُوضح الهيئة التي كان عليها جُنُود الإسلام في تلك البلاد.
im1_64.jpg,صورة شعاعية للعمود الفقري القطني بعد استئصال شق الصفيحة الفقرية من الفقرة القطنية الخامسة.
im1_65.jpg,مثال على نسيج عصبي.
im1_66.png,جامعة أبي بكر بلقايد.
im1_67.jpg,مسطرة قياس كانت لقدماء المصريين.
im1_68.jpg,نظرة للبرج من الأرض
im1_69.jpg,تزاوج خنافس رايزوتروجون مارجينايبس (ميلولونثيني/رايزوتروجيني)، الذكر في الأعلى – لاحظ مثنوية الشكل الجنسية في قرون الاستشعار
im1_70.jpg,منازل في أقشور (منتزه تلاسمطان الوطني).
im1_71.jpg,ضريح الرسول توما في ميلابور بجنوب شرق الهند بالقرن الثامن عشر.
im1_72.png,خاتم دورتموند
im1_73.jpg,سيارة DeLorean DMC-12 وبابان جناحي النورس مفتوحان.
im1_74.jpg,تمثالٌ نصفيّ لِسيف الدين قُطُز، معروضٌ في قلعة صلاح الدين الأيُّوبي بِالقاهرة.
im1_75.jpg,لوحة مرقس الرسول، الذي زعم إكليمندس في الرسالة أنه مؤلف الإنجيل السري. اللوحة رسمها برونزينو ح. 1525م، وهي موجودة في كنيسة باربادوري في فلورنسا.
im1_76.svg,تظهر هذه المسارات العلاقة بين اللمعان ودرجة الحرارة لعدة نجوم قبل النسق الأساسي (الخطوط الزرقاء) ذات كتل مختلفة الخطوط الشبة افقية تمثل مسار هينيي والمنحنيات الرأسية مسار هياشي
im1_77.jpg,مبنى مكتب العلوم الدوائية في برلين
im1_78.gif,العلاقة بين الأنواع و مواطنها للمناطق المتجاورة
im1_79.JPG,كنيسة ويلين في ميلتون كينز إحدى المبان التي صممها هوك.
im1_80.jpg,الصورة 2 [6]
im1_81.jpg,جهاز الترطيب فيتيك العامل على الأمواج فوق الصوتية.
im1_82.jpg,صورة لسيميون الثاني التقطت في يونيو 2005.
im1_83.jpg,محطة فيرمونت يانكي للطاقة النووية
im1_84.jpg,الطفل الذي تعرض للعض من البراغيث يصبح من المصابين بالعدوى البكتيرية يرسينية طاعونية يرسينية وهو عضو في أسرة الأمعائيات ، وتسبب اللدغة حالة جلدية لتصبح متقرحة.
im1_85.jpg,مسرح مارينسكي في سانت بطرسبرغ، من أبرز المسارح الموسيقية في روسيا حيث عرضت عليه روائع تشايكوفسكي وموسورجسكي وكورساكوف للمرة الأولى.
im1_86.jpg,مسمار تأسيس  معبد إي نانو
im1_87.jpg,ساينت هيلير
im1_88.svg,العلم الملكي السعودي منذ عام 1973م حتى الآن
im1_89.jpg,جيري هاليويل ترتدي الفستان القصير للعلم البريطاني.
im1_90.jpg,ضفدع هوچزتتر، أحد أنواع الضفادع البدائيَّة النيوزيلنديَّة المُنتمية لِرُتيبة الضفادع القديمة.
im1_91.jpg,نظرة على ملعب بروسيا.
im1_92.jpg,أيقونة روسية تصور القديس نقولا.
im1_93.jpg,صممت آلة صناعة الشموع في إندونيسيا عام 1920 تقريباً
im1_94.svg,بلديات الإقليم
im1_95.jpg,الشيخ محمد توفيق الهبري.
im1_96.png,المملكة العمونية وسط الممالك التي ظهرت في الأردن وفلسطين وسوريا - خلال القرن الثامن قبل الميلاد - تظهر أيضا مملكة إسرائيل التي لم تدم الا لعشرات السنين
im1_97.JPG,مستشفى هارتفورد في هارتفورد، كونيتيكت.. المستشفى هو نوع شائع من المرافق الصحية.
im1_98.svg,العلم التونسي قبل 1999
im1_99.jpg,إعلان يشير إلى وجود 10 حالات جديدة مصابة بحمى الضنك في المنطقة المجاورة. الصورة من سنغافورة.
im1_100.jpg,هونوريوس
im1_101.svg,شكل يوضح تأثيرات الإشعاعات المؤينة على الوسط الذي تمر فيه
im1_102.jpg,ميدان فردوسي.
im1_103.jpg,مباني المرحلة الأولى.
im1_104.jpg,جُندي مملوكي بِدرعه الكامل وسلاحه.
im1_105.jpg,ضريح الإمام الحسين سنة 1928م
im1_106.jpg,صورة مكبرة لبذور السمسم.
im1_107.jpg,مقام السيد المسيح الدرزي في محافظة السويداء؛ يعتبر يسوع شخصية مقدسة ومبجلة في المسيحية ومذهب التوحيد الدرزي.[11][10]
im1_108.jpg,جسر كان ثو تحت الإنشاء
im1_109.jpg,أقراص ريتالين مستديمة 20 ملغ
im1_110.jpeg," صورة لبعوضة الأنوفليس استيفنسي وهي تحصل على وجبة الدم بواسطة الخرطوم الحاد من خلال ""لدغة"" جسم الإنسان. لاحظ قطرة الدم وهي تدفق بصفة رجعية من التجويف البطني المحتقن لها. وتعتبرهذه البعوضة  الناقل لمرض الملاريا والمنتشر بين مصر للصين."
im1_111.jpg,طائرة PC-24.
im1_112.jpg,تشارلز ساندرز بيرس
im1_113.jpg,نصب واشنطن
im1_114.jpg,جواز سفر جزائري.
im1_115.jpg,Cryptolaemus montrouzieri With aphids
im1_116.png,رسم توضيحي لمثقب القوس.
im1_117.jpg,إنزال الأمريكيين بوهران.
im1_118.jpg,سولتان حجيبابوف مع الملحنين الأذربيجانيين -قار قاراييف، بولبول، سعيد رستاموف، سليمان ألأسغاروف
im1_119.jpg,من جداريات مقبرة مننا
im1_120.JPG,البائكة الجنوبية الغربية
im1_121.jpg,كنيسة (Church of good Shepherd) في صورة ليلية لسماء تيكابو.
im1_122.jpg,صورة بيزنطيَّة تُصوَّر يسوع كالمسيح ضابط الكل
im1_123.jpg,"أحد معالم مدينة ""صور"" التاريخية"
im1_124.jpg,بانثر في 1931 قبل تخريدها بقليل
im1_125.jpg,جناح المحامي
im1_126.jpg,موسى أبو مرزوق بجانب القيادي بالإخوان المسلمين محمد البلتاجي في القاهرة سنة 2007.
im1_127.jpg,رجل شيشاني يصلي خلال معركة غروزني1994–1995
im1_128.jpg,ناريمان في طفولتها عام 1940.
im1_129.jpg,الجماهير تحتفل بفوز الأهلي بدوري أبطال أفريقيا 2005
im1_130.jpg,أشجار الفاكهة في نيسان / أبريل في اوسويوس
im1_131.jpg,رؤساء الوفود المشاركة في قمة أنطاليا
im1_132.jpg,قرب كلية العمارة والتصميم والكليات الهندسية.
im1_133.jpg,استخدام الطاقة المتجددة حفاظ على البيئة
im1_134.JPG,من المناظر الطبيعية في إب
im1_136.jpg,شارل الثامن ملك فرنسا
im1_137.gif,مثال متحرك على كيفية تشكيل مثلث بنروز
im1_138.jpg,قلعة حلب. ضرب عليها البيزنطيُّون حصارًا واستعصت عليهم، فلم يقدروا على اقتحامها رُغم مُعاناة حاميتها من الجُوع.
im1_139.jpg,سكاي دبي من الداخل
im1_140.png,اٍتصال بسيط بين مرسل يبعث رسالة بها معلومات ومستقبل
im1_141.jpg,"صورة فضائية لتشكيل جيولوجي في سيدونيا(المريخ)، غالباً ما تسمى ""وجة على المريخ"".لاحقاً ألتقطت صور من زوايا أخرى لا يظهر فيها شكل الوجه."
im1_142.jpg,1914 إعلان جريدة لماركة سجائر مرسيدس
im1_143.jpg,بسمتي مع الدجاج
im1_144.jpg,طابع سُوري قديم يظهر عليه رسم لِأبي فراس الحمداني، خال سعد الدولة وأبرز ضحايا النزاع الأُسري الحمداني بعد وفاة سيف الدولة.
im1_145.jpg,إعادة إنشاء سميلودون النحيل
im1_146.jpg,مقر إدارة مارينا بورت غالب
im1_147.jpg,لافته بعد استقالة مبارك.
im1_148.JPG,القنصلية العامة الأوكرانية في فرانكفورت
im1_150.JPG,طيور اللقلق المهاجرة أثناء تحليقها فوق العين السخنة
im1_151.svg,خريطة تُوضح غزوات المغول للشَّام وأماكنها.
im1_152.jpg,كسانتوس
im1_153.jpg,"Government House, Melbourne"
im1_154.jpg,سعدون حمادي في بون عاصمة ألمانيا الغربية السابقة.
im1_155.jpg,موقع آربيك من بلدية برومن
im1_156.jpg,مدخل الضاغط، ويظهر كل من الدوار والجزء الثابت من الشفرات
im1_157.jpg,الطبيب النفسي فيليب بينيل يسلم مجنونا إلى مستشفى بستر لو كريملان في عام 1793. عرض اللوحة «تشارلز لوي موييه» في بهو الأكاديمية الوطنية للطب في باريس.
im1_158.svg,صورة تبين مواقع النمور الآسيوية
im1_159.jpg,الملك فيصل، 1964-1975
im1_160.jpg,موسيقيو الشارع في ميدان صهيون.
im1_161.jpg,تصميم ميكيلانجيلو لساحة كابيتولين، وهي الآن ملك متاحف كابيتولين. حُفرت بواسطة إتيان دوبريك، 1568.
im1_162.jpg,الموعظة على الجبل لكارل بلوخ  – يسوع ينشر رسالته شفاهة
im1_164.png,الوضع السياسي الحالي في الصومال، في 1 مارس 2009
im1_165.PNG,خريطة القاهرة الكبرى
im1_166.jpg,نيو أمستردام كما ظهرت عام 1664، أصبحت تحت الحكم البريطاني مثل نيو يورك
im1_167.jpg,بوابة النهضة في غرناطة
im1_168.jpg,ضفدع يفرخ صغار الضفادع
im1_169.jpg,قطار أفي (AVE) السريع بين برشلونة ومدريد.
im1_170.jpg,منزل الجاكسون في مرحلة الطفولة في ولاية إنديانا.
im1_171.jpg,صورة جوية للقدس والمسجد الأقصى تظهر عدة أماكن منها العيسوية، وسلوان، وجبل الزيتون، ورأس العامود، وأريحا في الأفق وغيرها
im1_172.jpg,عجينة المشمش المجفف لصنع قمر الدين.
im1_173.jpg,علبة زيت كانولا
im1_174.jpg,رسم تصوري من سنة 1878م لشكل الإسكندرية في الحقبة الرومانية
im1_175.jpg,غروب الشمس في إيبانيما، مع حي فيديغال في الخلفية
im1_176.jpg,شحم الخنزير محلية الصنع مصنوعة من دهن الخنزير
im1_177.JPG,نصب تذكاري لاتفاق شنغن باللوكسمبرجية والفرنسية والألمانية.
im1_178.jpg,زقورة عقرقوف عام 1915.
im1_179.jpg,ثينغفيلير بريشة ثورارين ثورلاكسون، أول فناني آيسلندا المعاصرين
im1_180.jpg,رخام يول (2004)
im1_181.JPG,ستيفان ناطر، ياسين الميكاري، حمزة المثلوثي يقومون بالحركات الإحمائية قبل مباراتهم الودية ضد بلجيكا يوم 7 يونيو 2014.
im1_182.jpg,تصوير ضحايا المجاعة الآيرلندية الكبرى، 1845-1849
im1_183.jpg,Анри Барбюс (1928)
im1_184.jpg,منظر بانورامي لطبيعة منطقة مسكن الأفاتار
im1_185.jpg,الرئيس عبد ربه منصور هادي الرئيس الثاني للجمهورية اليمنية
im1_186.jpg,التمثالان التوأم والمعروفان تبعًا للتقليد بكليوبيس وبيتون.
im1_187.jpg,ليفاندوفسكي أثناء التدريب مع بايرن ميونخ.
im1_188.jpg,صورة لمجموعة من فرسان الهيكل
im1_189.svg,مخطط مبسط للمرحلة الأولى لفك البروتينات، والسكريات، والدهون (ينتج Acetyl-CoA).
im1_190.JPG,مضخات نفاثة أثناء عملها
im1_191.jpg,مركبة الإنزال لصيانة السفن إيغريا
im1_192.jpg,أطراف أسلاك
im1_193.gif,حسين المصري
im1_194.jpg,جنازة الإسكندر (الإسكندر): حاملي النعش يحملون نعشه  المكسو برايات مع الحرير المطرز وعمامته في نهاية واحدة. في رواية نظامي سقط الإسكندر مريضا وتوفي قرب بابل. لأنه كان يعتقد أنه قد مات مسموما، لا يمكن لأي ترياق أن يقوم بإحيائه مرة أخرى.
im1_195.jpg,صممات السيفون الخاصة بشركة كرابر
im1_196.jpg,فيجا في حفل مهرجان برلين السينمائي الدولي عام 2017 م.
im1_197.png,رمز الجيش الوطني الشعبي
im1_198.jpg,إحدى إصدارات مجلة أورينت التابعة لمعهد الشرق الأوسط الألماني
im1_199.png,قاعدة بيانات البحث العالمي للغلاف الجوي، الإصدار 4.2، مشروع 2010.
im1_200.jpg,عائلة من الفيلة في بئر مائي اصطناعي في حديقة كروجر الوطنية
im1_201.jpg,كريستيان إريكسن هو أفضل هداف دنماركي في تاريخ الدوري الإنجليزي
im1_202.svg,شعار الملكة ماريانا
im1_203.jpg,نبتة الزريفيلة
im1_204.jpg,مشجعو خزر لانكاران خلال إحدى المباريات.
im1_205.jpg,"أوكلاهوما سيتي (أوكلاهوما), عاصمة أوكلاهوما"
im1_206.jpg,لافتة ثنائية اللغة باللغة الروسية والدونغانية في منزل بطل الحرب السوفياتي مانسوزي فاناخون
im1_207.jpg,المغول يقتحمون بغداد عام 1258.
im1_208.jpg,الأطفال يتلاحمون لرؤية ماذا يقرأ أصدقاؤهم.
im1_209.JPG,ذكر في الأسر
im1_210.jpg,تشاريس عام 1987، لـ آلان وارين
im1_211.JPG,تشاك تايلور أول-ستارز
im1_212.jpg,"Brownish tabular crystals of abhurite from Shipwreck ""Hydra"", South coast of Norway"
im1_213.jpg,أيل أحمر بمتنزه هوخه فيلواه القومي
im1_214.jpg,تقوس الإصبع الخنصر
im1_215.PNG,منظر تصوري لقاعدة على قمر كاليستو، ثاني أكبر أقمار كوكب المشتري (ناسا، 2004).
im1_216.jpg,هوسكاران مغطى بالثلج
im1_217.jpg,بيترو ميككا، أحد الجنود من عمال المناجم، في تلك الليلة كان في وردية مراقبة على درج هامة، والتي تربط بين الطابق الأول والثاني أسفل الأرض، أثناء ذلك شعر بالخطر صعد أعلى الباب ومعه 20 لغم ولكن صمام اللغم لا يعمل حمل اللغم بعيدا وحاول سحب فتيل اللغم والهرب ولكن لم يتمكن من الهرب فنفجر فيه اللغم ومات [28]
im1_218.jpg,ديفيد وينلاند.
im1_219.jpg,R. H. Tawney
im1_220.jpg,السلمونيلا هي مصدر شائع للأمراض المنقولة بالغذاء.
im1_221.jpg,السادات في 1953
im1_222.jpg,بريستول جوبيتر
im1_223.jpg,سرب حباري كبيرة يعبر سماء رومانيا متجهًا إلى الشام.
im1_224.jpg,تلال في توسكانا، إيطاليا
im1_225.jpg,جهاز أشعة سينية متحرك
im1_226.svg,قبرص الشمالية
im1_227.jpg,' احدي صفحات الكتاب ونشاهد دوق دي بيري الذي يرتدي الملابس اللازورديه الزرقاء جالسا في اليمين في حفل راس السنة الجديدة الذي تبادل فيه الهدايا مع افراد عائلته'
im1_228.jpg,أحد لوحي تانيس، الاسم Khoroáthos موضح بإطار
im1_229.jpg,صف قبور الضحايا التسعة وستون الذين لقيوا مصرعهم 69 على يد قوات الشرطة بتاريخ 21 مارس عام 1960.
im1_230.jpg,إيفان ياكوفليفيتش شاليابين (1837—1901) ، والد فيودور شاليابين .
im1_231.jpg,A compound crank
im1_232.jpg,أمعاء البحر في سوق للسمك في بوسان جنوب كوريا الجنوبية
im1_233.jpg,بحيرة النوبة
im1_234.jpg,فول أو فون
im1_235.png,رسم لوحيد القرن مرسوم بالحبر للفنان آلبرخت دورر، 1515، توجد الآن في المتحف البريطاني. يبين العنوان التوضيحي للمخطوطة تاريخ وصول وحيد القرن إلى لشبونة، وذلك عام 1513.[19]
im1_236.JPG,مع جيمس غارنر
im1_237.JPG,طاجن مع جزر
im1_238.jpg,خطاب كلينتون في سبتمبر 2014
im1_239.jpg,معركة مضيق جبل طارق البحرية 1607
im1_240.jpg,سيسنا ستيشن جيت
im1_241.svg,موقع حي ساروجة بالنسبة لأحياء دمشق
im1_242.JPG,دير الفرنسيسكان في مدينة دوبروفنيك.
im1_243.jpg,Pääkkönenite
im1_244.png,نسب المتعلميين في مختلف أنحاء العالم لعام 2013، بحسب تقرير التنمية البشرية للأمم المتحدة.
im1_245.jpg,أول قاعة مدينة في بريسبن ، كاليفورنيا. 1870
im1_246.jpg,أزهار اليكة الجلكاء
im1_247.jpg,الملكة أوراكا فرنانديث والملك سانشو غارسيا الثاني ملك بنبلونة والملك راميرو غارسيا دي فيجويرا في كتاب قانون فيجيلانوس (976).
im1_248.jpg,"""عيد أستير"" ليوهانس سبيلبرغ الأصغر"
im1_249.jpg,تل كيوب الشراعي في نيوزيلندا
im1_250.jpg,المغيري و يانوح
im1_251.jpg,فهد بن عبد الله بن محمد بن عبد الرحمن آل سعود
im1_252.jpg,حطام الغواصة الألمانية SM UB-46 (خلال WW1)
im1_253.jpg,حاييم رامون
im1_254.jpg,Corinne Masiero en 2013 au festival du film de Cabourg.
im1_255.JPG,كارتييه للفنون في قرية الصيفي
im1_256.jpg,من مخطوطات وادي قمران وتشمل سفر أشعياء 17/57 إلى 9/59.
im1_257.jpg,عمارات سكنية
im1_258.JPG,موريثيريوم
im1_259.png,الإمبراطورية الرومانية
im1_260.jpg,"رواية ديليا اوينز 2018 حيث يتم تعيين الجراد الغناء في مستنقع نورث كارولينا, حيث ""فتاه الأهوار "" بطل الرواية يقارن أصدقائها الضال إلى  ""الملاعين متستر "" انها تقرا عن في ايثولوجي."
im1_261.jpg,تلسكوب هابل الفضائي.
im1_262.jpg,فوغت إكس إف 8 يو-3 كروسادر 3
im1_263.jpg,قطاع في محرك غريفون يظهر أعمدة الحدبات وأجزاء أخرى، موضوع في متحف معركة بريطانيا.
im1_264.jpg,الغابات في جبل بيليون.
im1_265.jpg,"فوهة باري
 (7.9°S 15.8°W)"
im1_266.jpg,سجل إيريك كانتونا أول هاتريك في الدوري الإنجليزي الممتاز.
im1_267.jpg,بيض الإوز الصيني.
im1_268.jpg,كلورات الصوديوم
im1_269.jpg,أليكس الأول قيصر روسيا
im1_270.jpg,سيجموند فرويد كان مؤسس التحليل النفسي.
im1_271.jpg,أوليغر
im1_272.PNG,نابليون مع قواته عشية المعركة. لوحة من رسم لويس فرانسوا ليجون.
im1_273.jpg,قصر بلدة فآسا (منذ 1883).
im1_274.jpg,"نسخة متأخرة من قصيدة ""جنجو بيلوبا"" ويظهر فيها ورقتي نبتة الجنكو التي اهداها غوته لعشيقته لماريان فون فيلمير (1784-1860)"
im1_275.jpg,منسج في مصر 1836م
im1_276.JPG,"محطة فرعية في ملبورن بأستراليا بها 5 محولات يظهر في الصورة ثلاثة فقد 220 - 66 كيلو فولت , سعة المحول الواحد 150 ميجا فولت أمبير [48]"
im1_277.jpg,إيفان الرهيب وابنه إيفان; للرسام إيليا ريبين.
im1_278.jpg,القرقور بانسي وتظهر عليه مجموعة من الأعلام المختلفة.
im1_279.jpg,جدارية لسارة حجازي في عمان، الأردن.
im1_280.jpg,منمنمة فارسية تُصور الأميرة المسيحية شيرين وخسرو الثاني.
im1_281.png,"الأرنب والبطة من اصدار مجلة ""Fliegende Blätter"" أو ""ورقة فضفاضة"" من نسخة العدد 23 أكتوبر 1892"
im1_282.jpg,منظر الميناء وكوم الدكة كما يبدو من أرض العروض، رسمت سنة 1798م
im1_283.jpg,يوسف وهبي في شبابه قبل الاتجاه إلي التمثيل.
im1_284.jpg,دينار عباسي ضرب في عهد الأمين عام 811م
im1_285.jpg,عربات ترام مصفوفة عند المرآب في فيينا.
im1_286.jpg,وشنَّ جيش الخمير حربًا بالفيلة على تشام في القرن الثاني عشر.
im1_287.jpg,رسم تخطيطي لمركبات رانجر
im1_288.jpg,القبر ومنزل الحاكم
im1_289.jpg,مقر وكالة الفضاء الأوروبية في باريس
im1_290.png,"ألية تسلسل إطلاق الت٫رية. 
رأس حربي قبل التفجير الكرويات المتداخلة في الأعلى هي الإندماجات الرئيسية أما الأسطوانات السفلية فهي أجهزة التبغثر الثانويةإنفجار المندمجات الأساسية وانزلقت إلى النواة.إكتمال الإنفجار واصبحت درجة حرارة النواة الأساسية ملايين الدرجات وانبعاث الإشعاعات الصينية والغاما مما يرفع حرارة داخل الهولاروم والمؤثر الثانوي.إنتهاء المرحلة الأولى وتمددت. وبهذا، يتحلل سطح ويتمدد ليدفع بقية القسم الثانوي وتبداء شمعة الإشتعال بالتبديد.يبداء الحارق الثانوي بالإشتغال. بدء تكون الكرة الملتهبة."
im1_291.JPG,كريستيانو رونالدو هداف العالم لعام 2013
im1_292.jpg,هنري وادسورث لونجفيلو في عام 1873.
im1_293.jpg,رسمة لكنيسة المهد تعود لسنة 1833.
im1_294.jpg,وعاء من توابل اليقطين
im1_295.jpg,النار الإغريقية: أحد أهم الأسلحة التي استخدمها البيزنطيون ضد المسلمين
im1_296.jpg,طائرة سوخوي سو-30 ام كي ام تابعة للقوات الجوية الملكية الماليزية
im1_297.jpg,طبق من البراثا البنغالية المحشوة في أحد مطاعم بومباي-الهند
im1_298.jpg,مداخن الحاويات في محطة الحاويات كيبل في سنغافورة
im1_299.jpg,طائرة تحمل قنبلة مارك 12
im1_300.jpg,"House Swift
common resident"
im1_301.jpg,الطائرة الرئاسية بوينغ 737-700 (BBJ) معروضة للعموم في 2012.
im1_302.jpg,المقادير الأساسية اللازمة لتحضير المايونيز
im1_303.svg,حجر سيجورد من القرن الحادي عشر الميلادي، يصف أسطورة البطل النوردي سيجورد ويحوي في نفس الوقت نقوش رونية
im1_304.jpg,رياض محرز
im1_305.jpg,فتة حمص في الأردن
im1_306.jpg,مدرسة سان بول المسيحية في كراتشي.
im1_307.jpg,عدلي يكن باشا يتفقد خزان إسنا أثناء افتتاح سكة حديد الأقصر وأسوان.
im1_308.jpg,آخر الإستعددادات قبل انطلاق موكب الكرنفال لسنة 2008.
im1_309.jpg,سوق جودا للجبن
im1_310.jpg,خريطة تاريخية للجزائر تظهر فيها قلعة بجاية في الأسفل رسمها محيي الدين بيري ريس.
im1_311.jpg,"أرسطو
(384–322 قبل الميلاد)"
im1_312.JPG,تلوث مجرى مائي بالمخلفات الزراعية في نيوزيلندا.
im1_313.jpg,مخطوطة قديمة للكتاب.
im1_314.JPG,المعبد البهائي في كامابالا
im1_315.jpg,الحرم المكي
im1_316.png,Cartografia del 1888 di Palermo
im1_317.svg,أحجام السينسور المستخدمة في الكاميرات الاحترافية
im1_318.jpg,بحيرة جيازي وخلفها الجامعة
im1_319.jpg,السمك والبطاطا
im1_320.jpg,مركز ردم النفايات التقني في مقاطعة هونغ كونغ
im1_321.jpg,مقر HSBC في رام الله في أغسطس 2010 وتم إغلاقه في 2015.
im1_322.png,حالة التأهل   تأهل إلى كأس آسيا     يمكنه التأهل      فشل في التأهل     استبعد أو انسحب
im1_323.svg,علم صقلية
im1_324.svg,Chorągiew królewska króla Zygmunta III Wazy.svg
im1_325.png,الضرس الثاني المنطمر (السهم الأحمر) مع ضرس عقل يتكون (السهم الأخضر)
im1_326.jpg,لافتة على المكان الذي ولد فيه السير باتريك مانسون
im1_327.svg,با متخذا صورة طائر برأس إنسان.
